Ensembl Gene ID	Ensembl Transcript ID	Description
ENSONIG00000020787	ENSONIT00000026113	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026092}  [Source:UniProtKB/TrEMBL;Acc:I3KY95]
ENSONIG00000020788	ENSONIT00000026114	Oreochromis niloticus forkhead box L2 (foxl2), mRNA. [Source:RefSeq mRNA;Acc:NM_001279778]
ENSONIG00000020789	ENSONIT00000026115	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026094}  [Source:UniProtKB/TrEMBL;Acc:I3KY97]
ENSONIG00000020790	ENSONIT00000026116	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026095}  [Source:UniProtKB/TrEMBL;Acc:I3KY98]
ENSONIG00000020791	ENSONIT00000026117	fucosyltransferase 9a [Source:ZFIN;Acc:ZDB-GENE-080723-75]
ENSONIG00000020792	ENSONIT00000026118	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-) [Source:ZFIN;Acc:ZDB-GENE-050522-242]
ENSONIG00000020793	ENSONIT00000026119	frizzled homolog 1 [Source:ZFIN;Acc:ZDB-GENE-990415-219]
ENSONIG00000020794	ENSONIT00000026120	
ENSONIG00000020795	ENSONIT00000026121	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026099}  [Source:UniProtKB/TrEMBL;Acc:I3KYA2]
ENSONIG00000020796	ENSONIT00000026122	rapunzel 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9071]
ENSONIG00000020797	ENSONIT00000026123	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026101}  [Source:UniProtKB/TrEMBL;Acc:I3KYA4]
ENSONIG00000020798	ENSONIT00000026124	processing of precursor 7, ribonuclease P family, [Source:ZFIN;Acc:ZDB-GENE-041010-88]
ENSONIG00000020799	ENSONIT00000026125	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026103}  [Source:UniProtKB/TrEMBL;Acc:I3KYA6]
ENSONIG00000020800	ENSONIT00000026126	processing of precursor 7, ribonuclease P family, [Source:ZFIN;Acc:ZDB-GENE-041010-88]
ENSONIG00000020801	ENSONIT00000026127	UFM1-specific peptidase 1 (non-functional) [Source:ZFIN;Acc:ZDB-GENE-070410-124]
ENSONIG00000020802	ENSONIT00000026128	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026106}  [Source:UniProtKB/TrEMBL;Acc:I3KYA9]
ENSONIG00000020803	ENSONIT00000026129	SLIT and NTRK-like family, member 4 [Source:HGNC Symbol;Acc:HGNC:23502]
ENSONIG00000020804	ENSONIT00000026130	chemokine-like receptor 1 [Source:ZFIN;Acc:ZDB-GENE-060526-126]
ENSONIG00000020805	ENSONIT00000026131	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026109}  [Source:UniProtKB/TrEMBL;Acc:I3KYB2]
ENSONIG00000020806	ENSONIT00000026132	family with sequence similarity 181, member A [Source:HGNC Symbol;Acc:HGNC:20491]
ENSONIG00000020807	ENSONIT00000026133	ADP-ribosylation factor 6b [Source:ZFIN;Acc:ZDB-GENE-030131-9056]
ENSONIG00000020808	ENSONIT00000026134	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026112}  [Source:UniProtKB/TrEMBL;Acc:I3KYB5]
ENSONIG00000020809	ENSONIT00000026135	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026113}  [Source:UniProtKB/TrEMBL;Acc:I3KYB6]
ENSONIG00000020810	ENSONIT00000026136	leucine rich repeat neuronal 1 [Source:ZFIN;Acc:ZDB-GENE-071126-1]
ENSONIG00000020811	ENSONIT00000026137	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B, duplicate b [Source:ZFIN;Acc:ZDB-GENE-010605-4]
ENSONIG00000020812	ENSONIT00000026138	dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]
ENSONIG00000020813	ENSONIT00000026139	Gap junction protein {ECO:0000256|RuleBase:RU000630}  [Source:UniProtKB/TrEMBL;Acc:I3KYC0]
ENSONIG00000020814	ENSONIT00000026140	aldehyde dehydrogenase 7 family, member A1 [Source:ZFIN;Acc:ZDB-GENE-030131-6129]
ENSONIG00000020815	ENSONIT00000026141	leucine rich repeat containing 15 [Source:ZFIN;Acc:ZDB-GENE-031113-8]
ENSONIG00000020816	ENSONIT00000026142	cortexin 1 [Source:HGNC Symbol;Acc:HGNC:31108]
ENSONIG00000020817	ENSONIT00000026143	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026121}  [Source:UniProtKB/TrEMBL;Acc:I3KYC4]
ENSONIG00000020818	ENSONIT00000026144	forkhead box D2 [Source:ZFIN;Acc:ZDB-GENE-980605-6]
ENSONIG00000020819	ENSONIT00000026145	forkhead box E3 [Source:ZFIN;Acc:ZDB-GENE-061214-6]
ENSONIG00000020820	ENSONIT00000026146	sphingosine-1-phosphate receptor 3a [Source:ZFIN;Acc:ZDB-GENE-050208-347]
ENSONIG00000020821	ENSONIT00000026147	C2 calcium-dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]
ENSONIG00000020822	ENSONIT00000026148	fumarate hydratase [Source:ZFIN;Acc:ZDB-GENE-010724-6]
ENSONIG00000020823	ENSONIT00000026149	jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]
ENSONIG00000020824	ENSONIT00000026150	RAN guanine nucleotide release factor [Source:ZFIN;Acc:ZDB-GENE-060526-143]
ENSONIG00000020825	ENSONIT00000026151	zgc:153311 [Source:ZFIN;Acc:ZDB-GENE-060825-194]
ENSONIG00000020826	ENSONIT00000026152	protein phosphatase 1, regulatory (inhibitor) subunit 3D a [Source:ZFIN;Acc:ZDB-GENE-080204-75]
ENSONIG00000020827	ENSONIT00000026153	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026131}  [Source:UniProtKB/TrEMBL;Acc:I3KYD4]
ENSONIG00000020828	ENSONIT00000026154	adhesion molecule with Ig-like domain 1 [Source:ZFIN;Acc:ZDB-GENE-060503-114]
ENSONIG00000020829	ENSONIT00000026155	si:ch211-199o1.2 [Source:ZFIN;Acc:ZDB-GENE-060503-867]
ENSONIG00000020830	ENSONIT00000026156	WD repeat domain 89 [Source:HGNC Symbol;Acc:HGNC:20489]
ENSONIG00000020831	ENSONIT00000026157	forkhead box G1a [Source:ZFIN;Acc:ZDB-GENE-990415-267]
ENSONIG00000020832	ENSONIT00000026158	chromosome 11 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:26938]
ENSONIG00000020833	ENSONIT00000026159	fibronectin leucine rich transmembrane 1a [Source:ZFIN;Acc:ZDB-GENE-080327-22]
ENSONIG00000020834	ENSONIT00000026160	adrenergic, alpha-2C-, receptor [Source:ZFIN;Acc:ZDB-GENE-021010-3]
ENSONIG00000020835	ENSONIT00000026161	
ENSONIG00000020836	ENSONIT00000026162	gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100]
ENSONIG00000020837	ENSONIT00000026163	gamma-glutamylamine cyclotransferase [Source:HGNC Symbol;Acc:HGNC:25100]
ENSONIG00000020838	ENSONIT00000026164	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026142}  [Source:UniProtKB/TrEMBL;Acc:I3KYE5]
ENSONIG00000020839	ENSONIT00000026165	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026143}  [Source:UniProtKB/TrEMBL;Acc:I3KYE6]
ENSONIG00000020840	ENSONIT00000026166	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026144}  [Source:UniProtKB/TrEMBL;Acc:I3KYE7]
ENSONIG00000020841	ENSONIT00000026167	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026145}  [Source:UniProtKB/TrEMBL;Acc:I3KYE8]
ENSONIG00000020842	ENSONIT00000026168	ribonuclease like 4 [Source:ZFIN;Acc:ZDB-GENE-070713-7]
ENSONIG00000020843	ENSONIT00000026169	ribonuclease like 4 [Source:ZFIN;Acc:ZDB-GENE-070713-7]
ENSONIG00000020844	ENSONIT00000026170	ribonuclease P/MRP 25 subunit-like [Source:ZFIN;Acc:ZDB-GENE-040718-275]
ENSONIG00000020845	ENSONIT00000026171	glutaredoxin 3 [Source:ZFIN;Acc:ZDB-GENE-041010-22]
ENSONIG00000020846	ENSONIT00000026172	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026150}  [Source:UniProtKB/TrEMBL;Acc:I3KYF3]
ENSONIG00000020847	ENSONIT00000026173	family with sequence similarity 84, member B [Source:ZFIN;Acc:ZDB-GENE-060929-1130]
ENSONIG00000020848	ENSONIT00000026174	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026152}  [Source:UniProtKB/TrEMBL;Acc:I3KYF5]
ENSONIG00000020849	ENSONIT00000026175	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026153}  [Source:UniProtKB/TrEMBL;Acc:I3KYF6]
ENSONIG00000020850	ENSONIT00000026176	leucine rich repeat and Ig domain containing 4a [Source:ZFIN;Acc:ZDB-GENE-060503-275]
ENSONIG00000020851	ENSONIT00000026177	relaxin/insulin-like family peptide receptor 4 [Source:HGNC Symbol;Acc:HGNC:14666]
ENSONIG00000020852	ENSONIT00000026178	immediate early response 2 [Source:HGNC Symbol;Acc:HGNC:28871]
ENSONIG00000020853	ENSONIT00000026179	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026157}  [Source:UniProtKB/TrEMBL;Acc:I3KYG0]
ENSONIG00000020854	ENSONIT00000026180	transducer of ERBB2, 1a [Source:ZFIN;Acc:ZDB-GENE-031030-4]
ENSONIG00000020855	ENSONIT00000026181	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026159}  [Source:UniProtKB/TrEMBL;Acc:I3KYG2]
ENSONIG00000020856	ENSONIT00000026182	zgc:172131 [Source:ZFIN;Acc:ZDB-GENE-080204-47]
ENSONIG00000020857	ENSONIT00000026183	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-070202-1]
ENSONIG00000020858	ENSONIT00000026184	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026162}  [Source:UniProtKB/TrEMBL;Acc:I3KYG5]
ENSONIG00000020859	ENSONIT00000026185	sosondowah ankyrin repeat domain family member D [Source:HGNC Symbol;Acc:HGNC:32960]
ENSONIG00000020860	ENSONIT00000026186	C1GALT1-specific chaperone 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2772]
ENSONIG00000020861	ENSONIT00000026187	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026165}  [Source:UniProtKB/TrEMBL;Acc:I3KYG8]
ENSONIG00000020862	ENSONIT00000026188	
ENSONIG00000020863	ENSONIT00000026189	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026166}  [Source:UniProtKB/TrEMBL;Acc:I3KYG9]
ENSONIG00000020864	ENSONIT00000026190	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026167}  [Source:UniProtKB/TrEMBL;Acc:I3KYH0]
ENSONIG00000020865	ENSONIT00000026191	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026168}  [Source:UniProtKB/TrEMBL;Acc:I3KYH1]
ENSONIG00000020866	ENSONIT00000026192	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026169}  [Source:UniProtKB/TrEMBL;Acc:I3KYH2]
ENSONIG00000020867	ENSONIT00000026193	serine-rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792]
ENSONIG00000020868	ENSONIT00000026194	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026171}  [Source:UniProtKB/TrEMBL;Acc:I3KYH4]
ENSONIG00000020869	ENSONIT00000026195	phosphatidylinositol glycan anchor biosynthesis, class W [Source:HGNC Symbol;Acc:HGNC:23213]
ENSONIG00000020870	ENSONIT00000026196	ER membrane protein complex subunit 6 [Source:ZFIN;Acc:ZDB-GENE-030131-9164]
ENSONIG00000020871	ENSONIT00000026197	connexin 39.9 [Source:ZFIN;Acc:ZDB-GENE-040406-2]
ENSONIG00000020872	ENSONIT00000026198	
ENSONIG00000020873	ENSONIT00000026199	leucine rich repeat and Ig domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-080327-16]
ENSONIG00000020874	ENSONIT00000026200	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026177}  [Source:UniProtKB/TrEMBL;Acc:I3KYI0]
ENSONIG00000020875	ENSONIT00000026201	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026178}  [Source:UniProtKB/TrEMBL;Acc:I3KYI1]
ENSONIG00000020876	ENSONIT00000026202	transmembrane protein 126A [Source:ZFIN;Acc:ZDB-GENE-040426-1770]
ENSONIG00000020877	ENSONIT00000026203	si:dkeyp-72g9.4 [Source:ZFIN;Acc:ZDB-GENE-031204-23]
ENSONIG00000020878	ENSONIT00000026204	adrenergic, alpha-2D-, receptor a [Source:ZFIN;Acc:ZDB-GENE-021010-4]
ENSONIG00000020879	ENSONIT00000026205	solute carrier family 35, member A4 [Source:ZFIN;Acc:ZDB-GENE-061103-595]
ENSONIG00000020880	ENSONIT00000026206	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026183}  [Source:UniProtKB/TrEMBL;Acc:I3KYI6]
ENSONIG00000020881	ENSONIT00000026207	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026184}  [Source:UniProtKB/TrEMBL;Acc:I3KYI7]
ENSONIG00000020882	ENSONIT00000026208	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026185}  [Source:UniProtKB/TrEMBL;Acc:I3KYI8]
ENSONIG00000020883	ENSONIT00000026209	hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]
ENSONIG00000020884	ENSONIT00000026210	chemokine-like receptor 1 [Source:ZFIN;Acc:ZDB-GENE-060526-126]
ENSONIG00000020885	ENSONIT00000026211	ISG15 ubiquitin-like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]
ENSONIG00000020886	ENSONIT00000026212	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026189}  [Source:UniProtKB/TrEMBL;Acc:I3KYJ2]
ENSONIG00000020887	ENSONIT00000026213	stomatin [Source:ZFIN;Acc:ZDB-GENE-980526-486]
ENSONIG00000020888	ENSONIT00000026214	cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]
ENSONIG00000020889	ENSONIT00000026215	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026192}  [Source:UniProtKB/TrEMBL;Acc:I3KYJ5]
ENSONIG00000020890	ENSONIT00000026216	sprouty homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:11271]
ENSONIG00000020891	ENSONIT00000026217	claudin 2 [Source:ZFIN;Acc:ZDB-GENE-040912-26]
ENSONIG00000020892	ENSONIT00000026218	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026195}  [Source:UniProtKB/TrEMBL;Acc:I3KYJ8]
ENSONIG00000020893	ENSONIT00000026219	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]
ENSONIG00000020894	ENSONIT00000026220	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]
ENSONIG00000020895	ENSONIT00000026221	syntaxin 11a [Source:ZFIN;Acc:ZDB-GENE-040426-2564]
ENSONIG00000020896	ENSONIT00000026222	G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]
ENSONIG00000020897	ENSONIT00000026223	family with sequence similarity 110, member C [Source:HGNC Symbol;Acc:HGNC:33340]
ENSONIG00000020898	ENSONIT00000026224	si:dkey-206f10.5 [Source:ZFIN;Acc:ZDB-GENE-041014-79]
ENSONIG00000020899	ENSONIT00000026225	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026202}  [Source:UniProtKB/TrEMBL;Acc:I3KYK5]
ENSONIG00000020900	ENSONIT00000026226	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026203}  [Source:UniProtKB/TrEMBL;Acc:I3KYK6]
ENSONIG00000020901	ENSONIT00000026227	protein phosphatase 1, regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]
ENSONIG00000020902	ENSONIT00000026228	protein phosphatase 1, regulatory subunit 3G [Source:HGNC Symbol;Acc:HGNC:14945]
ENSONIG00000020903	ENSONIT00000026229	Claudin {ECO:0000256|RuleBase:RU060637}  [Source:UniProtKB/TrEMBL;Acc:I3KYK9]
ENSONIG00000020904	ENSONIT00000026230	LSM10, U7 small nuclear RNA associated [Source:ZFIN;Acc:ZDB-GENE-090508-7]
ENSONIG00000020905	ENSONIT00000026231	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026208}  [Source:UniProtKB/TrEMBL;Acc:I3KYL1]
ENSONIG00000020906	ENSONIT00000026232	transmembrane protein 74 [Source:HGNC Symbol;Acc:HGNC:26409]
ENSONIG00000020907	ENSONIT00000026233	connexin 52.9 [Source:ZFIN;Acc:ZDB-GENE-040426-2421]
ENSONIG00000020908	ENSONIT00000026234	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]
ENSONIG00000020909	ENSONIT00000026235	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]
ENSONIG00000020910	ENSONIT00000026236	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]
ENSONIG00000020911	ENSONIT00000026237	purine-rich element binding protein Ba [Source:ZFIN;Acc:ZDB-GENE-060531-100]
ENSONIG00000020912	ENSONIT00000026238	zgc:158343 [Source:ZFIN;Acc:ZDB-GENE-061201-9]
ENSONIG00000020913	ENSONIT00000026239	POU class 3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9215]
ENSONIG00000020914	ENSONIT00000026240	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026217}  [Source:UniProtKB/TrEMBL;Acc:I3KYM0]
ENSONIG00000020915	ENSONIT00000026241	ring finger protein 146 [Source:HGNC Symbol;Acc:HGNC:21336]
ENSONIG00000020916	ENSONIT00000026242	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [Source:ZFIN;Acc:ZDB-GENE-070410-54]
ENSONIG00000020917	ENSONIT00000026243	olfactory receptor class A related 6 [Source:ZFIN;Acc:ZDB-GENE-100721-8]
ENSONIG00000020918	ENSONIT00000026244	fibronectin leucine rich transmembrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-267]
ENSONIG00000020919	ENSONIT00000026245	astacin-like metallo-endopeptidase (M12 family) [Source:HGNC Symbol;Acc:HGNC:31704]
ENSONIG00000020920	ENSONIT00000026246	PRKR interacting protein 1 (IL11 inducible) [Source:ZFIN;Acc:ZDB-GENE-111011-2]
ENSONIG00000020921	ENSONIT00000026247	astacin-like metallo-endopeptidase (M12 family) [Source:HGNC Symbol;Acc:HGNC:31704]
ENSONIG00000020922	ENSONIT00000026248	progestin and adipoQ receptor family member VIII [Source:ZFIN;Acc:ZDB-GENE-030728-3]
ENSONIG00000020923	ENSONIT00000026249	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]
ENSONIG00000020924	ENSONIT00000026250	si:ch73-91k6.2 [Source:ZFIN;Acc:ZDB-GENE-050208-270]
ENSONIG00000020925	ENSONIT00000026251	CREB/ATF bZIP transcription factor [Source:ZFIN;Acc:ZDB-GENE-030131-8015]
ENSONIG00000020926	ENSONIT00000026252	cardiac myosin light chain-1 [Source:ZFIN;Acc:ZDB-GENE-030522-1]
ENSONIG00000020927	ENSONIT00000026253	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026230}  [Source:UniProtKB/TrEMBL;Acc:I3KYN3]
ENSONIG00000020928	ENSONIT00000026254	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026231}  [Source:UniProtKB/TrEMBL;Acc:I3KYN4]
ENSONIG00000020929	ENSONIT00000026255	hexamethylene bis-acetamide inducible 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4637]
ENSONIG00000020930	ENSONIT00000026256	phosphatase, orphan 1 [Source:ZFIN;Acc:ZDB-GENE-040801-198]
ENSONIG00000020931	ENSONIT00000026257	neuronal differentiation 2 [Source:HGNC Symbol;Acc:HGNC:7763]
ENSONIG00000020932	ENSONIT00000026258	frizzled homolog 2 [Source:ZFIN;Acc:ZDB-GENE-990415-224]
ENSONIG00000020933	ENSONIT00000026259	extracellular leucine-rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154]
ENSONIG00000020934	ENSONIT00000026260	G protein-coupled receptor 146 [Source:ZFIN;Acc:ZDB-GENE-050823-3]
ENSONIG00000020935	ENSONIT00000026261	G protein-coupled estrogen receptor 1 [Source:ZFIN;Acc:ZDB-GENE-090311-1]
ENSONIG00000020936	ENSONIT00000026262	insulin-like growth factor binding protein, acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]
ENSONIG00000020937	ENSONIT00000026263	sphingosine-1-phosphate receptor 2 [Source:ZFIN;Acc:ZDB-GENE-020123-2]
ENSONIG00000020938	ENSONIT00000026264	purinergic receptor P2Y, G-protein coupled, 11 [Source:ZFIN;Acc:ZDB-GENE-111221-4]
ENSONIG00000020939	ENSONIT00000026265	vac14 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040912-82]
ENSONIG00000020940	ENSONIT00000026266	claudin k [Source:ZFIN;Acc:ZDB-GENE-040801-201]
ENSONIG00000020941	ENSONIT00000026267	si:dkey-120c6.5 [Source:ZFIN;Acc:ZDB-GENE-131121-595]
ENSONIG00000020942	ENSONIT00000026268	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026245}  [Source:UniProtKB/TrEMBL;Acc:I3KYP8]
ENSONIG00000020943	ENSONIT00000026269	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026246}  [Source:UniProtKB/TrEMBL;Acc:I3KYP9]
ENSONIG00000020944	ENSONIT00000026270	transcription elongation factor A (SII) N-terminal and central domain containing [Source:HGNC Symbol;Acc:HGNC:28277]
ENSONIG00000020945	ENSONIT00000026271	RAB9A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9792]
ENSONIG00000020946	ENSONIT00000026272	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026249}  [Source:UniProtKB/TrEMBL;Acc:I3KYQ2]
ENSONIG00000020947	ENSONIT00000026273	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026250}  [Source:UniProtKB/TrEMBL;Acc:I3KYQ3]
ENSONIG00000020948	ENSONIT00000026274	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026251}  [Source:UniProtKB/TrEMBL;Acc:I3KYQ4]
ENSONIG00000020949	ENSONIT00000026275	leucine rich repeat and Ig domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21207]
ENSONIG00000020950	ENSONIT00000026276	fibroblast growth factor binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-081106-1]
ENSONIG00000020951	ENSONIT00000026277	nanos homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1623]
ENSONIG00000020952	ENSONIT00000026278	Bardet-Biedl syndrome 12 [Source:ZFIN;Acc:ZDB-GENE-070626-3]
ENSONIG00000020953	ENSONIT00000026279	TP53 regulated inhibitor of apoptosis 1 [Source:ZFIN;Acc:ZDB-GENE-050417-161]
ENSONIG00000020954	ENSONIT00000026280	ankyrin repeat domain 34A [Source:HGNC Symbol;Acc:HGNC:27639]
ENSONIG00000020955	ENSONIT00000026281	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026258}  [Source:UniProtKB/TrEMBL;Acc:I3KYR1]
ENSONIG00000020956	ENSONIT00000026282	ring finger protein 182 [Source:ZFIN;Acc:ZDB-GENE-060825-49]
ENSONIG00000020957	ENSONIT00000026283	pleckstrin homology domain containing, family F (with FYVE domain) member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-884]
ENSONIG00000020958	ENSONIT00000026284	chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]
ENSONIG00000020959	ENSONIT00000026285	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:ZFIN;Acc:ZDB-GENE-030131-2873]
ENSONIG00000020960	ENSONIT00000026286	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026263}  [Source:UniProtKB/TrEMBL;Acc:I3KYR6]
ENSONIG00000020961	ENSONIT00000026287	zgc:112001 [Source:ZFIN;Acc:ZDB-GENE-050417-178]
ENSONIG00000020962	ENSONIT00000026288	connexin 43 [Source:ZFIN;Acc:ZDB-GENE-991105-4]
ENSONIG00000020963	ENSONIT00000026289	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026266}  [Source:UniProtKB/TrEMBL;Acc:I3KYR9]
ENSONIG00000020964	ENSONIT00000026290	leucine rich repeat containing 4.2 [Source:ZFIN;Acc:ZDB-GENE-030131-7997]
ENSONIG00000020965	ENSONIT00000026291	ankyrin repeat domain 34C [Source:HGNC Symbol;Acc:HGNC:33888]
ENSONIG00000020966	ENSONIT00000026292	cholesterol 25-hydroxylase like 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8617]
ENSONIG00000020967	ENSONIT00000026293	cholesterol 25-hydroxylase like 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050419-90]
ENSONIG00000020968	ENSONIT00000026294	C2 calcium-dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]
ENSONIG00000020969	ENSONIT00000026295	forkhead box B1a [Source:ZFIN;Acc:ZDB-GENE-990616-47]
ENSONIG00000020970	ENSONIT00000026296	immunoglobulin superfamily containing leucine-rich repeat 2 [Source:ZFIN;Acc:ZDB-GENE-050320-95]
ENSONIG00000020971	ENSONIT00000026297	leucine rich repeat transmembrane neuronal 1 [Source:ZFIN;Acc:ZDB-GENE-050506-80]
ENSONIG00000020972	ENSONIT00000026298	neuropeptides B/W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]
ENSONIG00000020973	ENSONIT00000026299	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]
ENSONIG00000020974	ENSONIT00000026300	lysophosphatidic acid receptor 5b [Source:ZFIN;Acc:ZDB-GENE-081022-116]
ENSONIG00000020975	ENSONIT00000026301	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026278}  [Source:UniProtKB/TrEMBL;Acc:I3KYT1]
ENSONIG00000020976	ENSONIT00000026302	kelch repeat and BTB (POZ) domain containing 13 [Source:HGNC Symbol;Acc:HGNC:37227]
ENSONIG00000020977	ENSONIT00000026303	si:ch211-81n22.1 [Source:ZFIN;Acc:ZDB-GENE-131127-633]
ENSONIG00000020978	ENSONIT00000026304	nerve growth factor (beta polypeptide) [Source:ZFIN;Acc:ZDB-GENE-000629-2]
ENSONIG00000020979	ENSONIT00000026305	potassium voltage-gated channel, shaker-related subfamily, member 3 [Source:HGNC Symbol;Acc:HGNC:6221]
ENSONIG00000020980	ENSONIT00000026306	potassium voltage-gated channel, shaker-related subfamily, member 2b [Source:ZFIN;Acc:ZDB-GENE-080204-89]
ENSONIG00000020981	ENSONIT00000026307	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000026284}  [Source:UniProtKB/TrEMBL;Acc:I3KYT7]
ENSONIG00000020982	ENSONIT00000026308	potassium voltage-gated channel, subfamily F, member 1a [Source:ZFIN;Acc:ZDB-GENE-041001-217]
ENSONIG00000020983	ENSONIT00000026309	leucine-rich alpha-2-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:29480]
